cod_estados;sigla;nome;id
1;AC;ACRE;1
2;AL;ALAGOAS;2
3;AP;AMAPÁ;3
4;AM;AMAZONAS;4
5;BA;BAHIA;5
6;CE;CEARÁ;6
27;DF;"DISTRITO FEDERAL";7
7;ES;"ESPÍRITO SANTO";8
22;RR;RORAIMA;9
8;GO;GOIÁS;10
9;MA;MARANHÃO;11
10;MT;"MATO GROSSO";12
11;MS;"MATO GROSSO DO SUL";13
12;MG;"MINAS GERAIS";14
13;PA;PARÁ;15
14;PB;PARAÍBA;16
15;PR;PARANÁ;17
16;PE;PERNAMBUCO;18
17;PI;PIAUÍ;19
18;RJ;"RIO DE JANEIRO";20
19;RN;"RIO GRANDE DO NORTE";21
20;RS;"RIO GRANDE DO SUL";22
21;RO;RONDÔNIA;23
26;TO;TOCANTINS;24
23;SC;"SANTA CATARINA";25
24;SP;"SÃO PAULO";26
25;SE;SERGIPE;27
